Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)?,How many US states have you visited?,What is your favorite season?
8/26/2026 10:11:51,Communications,iPhone,10+ Years,7.0,1,2,No,Football,85.0,47.0,Fall
8/26/2026 10:11:54,Cognitive Science,Android,< 1 Year,7.0,3,2,Yes,Baseball,74.0,10.0,Spring
8/26/2026 10:12:09,"Cognitive Science, Computer Science Concentration",iPhone,< 1 Year,7.0,4,4,Yes,Soccer,74.0,11.0,Fall
8/26/2026 10:12:14,Economics,iPhone,< 1 Year,7.0,1,1,No,Soccer,70.0,9.0,Fall
8/26/2026 10:12:27,Statistics,iPhone,< 1 Year,8.0,2,3,Yes,Ice Hockey,72.0,8.0,Spring
8/26/2026 10:12:28,Applied Statistics,iPhone,1-3 Years,8.0,3,3,Yes,Soccer,70.0,12.0,Fall
8/26/2026 10:12:43,Economics,Android,7-10 Years,7.0,1,2,No,Volleyball And Basketball,80.0,20.0,Spring
8/26/2026 10:13:01,Statistics,iPhone,< 1 Year,8.0,3,4,Yes,Football,75.0,11.0,Summer
8/26/2026 10:13:19,B.A. In Computer Science,iPhone,< 1 Year,4.0,5,5,Yes,Mma Or Hockey,72.0,22.0,Winter
8/26/2026 10:13:25,Computational Modeling And Data Analytics,iPhone,< 1 Year,8.0,3,4,Yes,Football,78.0,14.0,Summer
8/26/2026 10:13:30,Economics,iPhone,< 1 Year,7.0,3,3,No,Football,72.0,14.0,Fall
8/26/2026 10:13:33,Psychology And Economics,iPhone,4-6 Years,8.0,1,2,No,Ice Hockey And Tennis,63.0,10.0,Spring
8/26/2026 10:13:35,Statistics And Economics,iPhone,< 1 Year,8.0,2,2,No,College Basketball,73.0,22.0,Spring
8/26/2026 10:13:47,Economics,iPhone,4-6 Years,8.0,1,1,No,I Don’T Watch Tv,55.0,11.0,Spring
8/26/2026 10:14:16,Statistics,iPhone,< 1 Year,7.5,2,2,No,,65.0,6.0,Fall
8/26/2026 10:14:54,Astronomy-Physics,iPhone,< 1 Year,6.0,4,4,Yes,I Don’T Watch Sports,64.0,32.0,Fall
8/26/2026 10:19:11,Mathematics,iPhone,< 1 Year,7.0,1,3,No,College Football,77.0,17.0,Summer
8/26/2026 10:29:48,Applied Mathematics,iPhone,4-6 Years,5.5,2,4,Yes,Basketball,76.0,39.0,Fall
8/26/2026 10:42:03,"Computational Applied Mathematics And Statistics, Data Science Minor",iPhone,< 1 Year,6.0,3,4,Yes,Basketball,73.0,11.0,Winter
8/26/2026 10:50:59,English,iPhone,< 1 Year,6.0,4,4,No,Soccer,70.0,47.0,Fall
8/26/2026 11:00:11,Data Science,iPhone,< 1 Year,7.0,5,4,Yes,Soccer,64.0,20.0,Fall
8/26/2026 11:01:02,Data Science/Mathematics,iPhone,< 1 Year,6.0,5,4,Yes,Football,70.0,7.0,Fall
8/26/2026 11:02:29,Computer Science,iPhone,1-3 Years,6.0,5,5,Yes,Football,75.0,8.0,Fall
8/26/2026 11:02:46,Math And Computer Science,iPhone,< 1 Year,7.0,4,5,Yes,Football,70.0,22.0,Fall
8/26/2026 11:04:34,Computer Science,Android,< 1 Year,7.0,4,4,Yes,Football,70.0,4.0,Fall
8/26/2026 11:04:34,Applied Mathematics In Economics,iPhone,< 1 Year,7.0,1,4,No,Basketball,78.0,25.0,Fall
8/26/2026 11:05:15,Psychology,iPhone,1-3 Years,7.0,2,2,No,Football,68.0,15.0,Fall
8/26/2026 11:05:17,Applied Data Analytics,iPhone,< 1 Year,8.0,3,3,Yes,College Basketball,77.0,20.0,Summer
8/26/2026 11:05:31,Computer Science,iPhone,< 1 Year,6.0,3,3,No,Basketball,71.0,9.0,Fall
8/26/2026 11:06:08,Data Science/Econ,iPhone,< 1 Year,6.0,2,4,No,Baseball/Football,70.0,34.0,Summer
8/26/2026 11:07:20,Computer Science,iPhone,4-6 Years,7.0,5,4,Yes,Football Or Mma,57.0,26.0,Spring
8/26/2026 11:07:36,Information Technology: Data Science And Analytics,iPhone,1-3 Years,6.0,3,3,Yes,Soccer,79.0,10.0,Summer
8/26/2026 11:10:35,Statistics And Linguistics,iPhone,4-6 Years,8.0,3,3,Yes,Baseball,65.0,23.0,Spring
8/26/2026 11:14:14,Sports Management,iPhone,4-6 Years,7.0,1,2,No,Football,73.0,35.0,Spring
8/26/2026 11:14:44,Math And Operations Research,iPhone,< 1 Year,6.0,3,4,No,American Football,68.0,32.0,Summer
8/26/2026 11:14:44,Computer Science And Data Analytics,iPhone,< 1 Year,7.0,3,3,Yes,Football,68.0,15.0,Fall
8/26/2026 11:14:49,Economics,iPhone,1-3 Years,7.0,2,2,Yes,Basketball,75.0,22.0,Summer
8/26/2026 11:14:51,Mechanical Engineering,iPhone,1-3 Years,8.0,3,2,No,College Football,65.0,17.0,Fall
8/26/2026 11:14:53,Accounting,Android,1-3 Years,9.0,1,1,No,Basketball,73.0,12.0,Winter
8/26/2026 11:14:53,Computational & Data Sciences,iPhone,4-6 Years,6.0,2,3,Yes,Basketball,75.0,20.0,Fall
8/26/2026 11:14:57,Computer Science,iPhone,< 1 Year,8.0,3,4,No,Football Or Soccer. Go Cowboys!!,68.0,30.0,Fall
8/26/2026 11:15:04,Mechanical Engineering,iPhone,1-3 Years,7.0,2,2,Yes,Cricket,77.0,1.0,Spring
8/26/2026 11:15:09,Business Administration,iPhone,4-6 Years,8.5,3,3,Yes,Soccer,72.0,5.0,Spring
8/26/2026 11:15:16,Intelligence Analysis,iPhone,< 1 Year,7.0,2,2,Yes,Tennis,,,Fall
8/26/2026 11:15:19,Mathematics And Statistics,iPhone,< 1 Year,8.0,2,2,Yes,Hockey,68.0,18.0,Spring
8/26/2026 11:15:22,Computer Science,iPhone,1-3 Years,7.0,5,4,Yes,Football,40.0,5.0,Winter
8/26/2026 11:15:24,Mechanical Engineering,iPhone,1-3 Years,8.0,3,4,Yes,Football,67.0,21.0,Fall
8/26/2026 11:15:35,Psychology,iPhone,1-3 Years,7.0,3,3,No,College Softball,60.0,17.0,Winter
8/26/2026 11:15:40,Information Science & Economics,iPhone,< 1 Year,8.0,4,3,Yes,Lacrosse,68.0,23.0,Fall
8/26/2026 11:15:46,Economics,iPhone,< 1 Year,7.0,1,3,Yes,Hockey,68.0,20.0,Fall
8/26/2026 11:15:53,"Economics, Government",iPhone,< 1 Year,7.0,1,2,No,Rugby,77.0,25.0,Summer
8/26/2026 11:15:57,International Economics And Finance,iPhone,1-3 Years,8.0,2,2,No,Football Or Golf,75.0,22.0,Fall
8/26/2026 11:15:59,Economics,iPhone,1-3 Years,6.0,1,3,No,Football,65.0,13.0,Fall
8/26/2026 11:16:06,Homayoun Fatehi,iPhone,4-6 Years,0.0,3,3,Yes,Soccer,65.0,4.0,Fall
8/26/2026 11:16:10,Fintech And Big Data Analytics,iPhone,< 1 Year,7.0,3,3,Yes,Football (Specifically Playoffs),70.0,10.0,Spring
8/26/2026 11:16:40,Data Science,iPhone,< 1 Year,7.0,2,5,Yes,Baseball,75.0,10.0,Spring
8/26/2026 11:16:48,Economics,iPhone,7-10 Years,8.25,3,2,No,Mountain Bike Racing,75.0,48.0,Spring
8/26/2026 11:16:57,Information Systems And Operations Management,iPhone,4-6 Years,7.0,1,2,Yes,Cricket,85.0,11.0,Spring
8/26/2026 11:17:17,Economics,iPhone,7-10 Years,8.0,1,2,No,Football,68.0,24.0,Fall
8/26/2026 11:18:16,Business Marketing And Management,iPhone,4-6 Years,7.0,2,2,Yes,Baseball/Softball,72.0,5.0,Fall
8/26/2026 11:19:28,Computer Science,,< 1 Year,6.0,3,3,Yes,"Track (If I Could, I Don’T Pay For Subscriptions)",73.0,8.0,Fall
8/26/2026 11:19:33,Statistics,iPhone,< 1 Year,7.0,1,3,No,College Football,65.0,23.0,Spring
8/26/2026 11:42:37,Industrial And Systems Engineering,Android,7-10 Years,8.0,4,4,Yes,Usually American Football,70.0,10.0,Fall
8/26/2026 11:42:57,Bioinformatics And Biology,iPhone,< 1 Year,5.0,2,3,No,Football,40.0,16.0,Winter
8/26/2026 11:44:34,Computer Science,iPhone,< 1 Year,4.0,3,3,Yes,Soccer,75.0,1.0,Summer
8/26/2026 11:48:23,It-Concentration In Data Science,iPhone,1-3 Years,6.5,3,3,Yes,Soccer And Fustal,68.0,5.0,Spring
8/26/2026 11:52:24,Data Science,iPhone,< 1 Year,7.0,4,4,No,Football,63.0,23.0,Fall
8/26/2026 12:16:47,English (Education),Android,10+ Years,7.0,1,2,Yes,Does The Superbowl Count? That'S All I Watch.,75.0,,Fall
